pregunta,a,b,c,d,correcta,materia,tema
"Historia como ciencia estudia pasado con:","A) Mitos","B) Análisis crítico fuentes","C) Adivinación","D) Tradición oral solo",B,Historia Universal,"La Historia, Definición y utilidad de la Historia"
"Periodización a.C./d.C. origen:","A) Cristiano","B) Musulmán","C) Judío","D) Romano",A,Historia Universal,"La Historia, Periodización de la Historia"
"Ilustración fuente conocimiento:","A) Fe","B) Tradición","C) Razón","D) Emoción",C,Historia Universal,"Las Revoluciones burguesas, Las ideas de la Ilustración"
"Despotismo ilustrado: ""Todo para el pueblo, sin el pueblo""","A) Rousseau","B) Voltaire","C) Monarca ilustrado","D) Marx",C,Historia Universal,"Las Revoluciones burguesas, Las ideas de la Ilustración"
"John Locke: soberanía reside en:","A) Rey","B) Pueblo","C) Iglesia","D) Ejército",B,Historia Universal,"Las Revoluciones burguesas, Las ideas de la Ilustración"
"Burguesía propietaria de:","A) Tierra y títulos","B) Medios producción","C) Solo fuerza trabajo","D) Cargos eclesiásticos",B,Historia Universal,"Las Revoluciones burguesas, El fortalecimiento de la burguesía"
""Hombre nace libre... encadenado"" de:","A) Smith","B) Voltaire","C) Rousseau","D) Montesquieu",C,Historia Universal,"Las Revoluciones burguesas, Las ideas de la Ilustración"
"Liberalismo económico: precios regulados por:","A) Decretos","B) Oferta y demanda","C) Sindicatos","D) Planes quinquenales",B,Historia Universal,"Las Revoluciones burguesas, El liberalismo económico y político del siglo XIX"
"Sufragio censitario: voto a:","A) Todos adultos","B) Hombres con propiedad/renta","C) Clero y nobleza","D) Extranjeros",B,Historia Universal,"Pensamiento y movimientos sociales y políticos del siglo XIX, La lucha entre el liberalismo y conservadurismo"
"Santa Alianza (1815) agrupaba:","A) Países liberales","B) Monarquías absolutistas reprimir revoluciones","C) Estados italianos","D) Países descolonizados",B,Historia Universal,"Pensamiento y movimientos sociales y políticos del siglo XIX, La lucha entre el liberalismo y conservadurismo"
""Manifiesto Comunista"" publicado 1848 por:","A) Owen","B) Marx y Engels","C) Bakunin","D) Saint-Simon",B,Historia Universal,"Pensamiento y movimientos sociales y políticos del siglo XIX, Los movimientos obreros y el pensamiento socialista"
"Para Marx, proletariado vende:","A) Propiedad","B) Fuerza trabajo","C) Conocimiento","D) Lealtad",B,Historia Universal,"Pensamiento y movimientos sociales y políticos del siglo XIX, Los movimientos obreros y el pensamiento socialista"
""Risorgimento"" movimiento unificación:","A) Alemania","B) Italia","C) Grecia","D) EE.UU.",B,Historia Universal,"Pensamiento y movimientos sociales y políticos del siglo XIX, El nacionalismo y los procesos de unificación nacional de Italia y Alemania"
"Batalla Sadowa (1866): Prusia vs:","A) Francia","B) Austria","C) Dinamarca","D) Rusia",B,Historia Universal,"Pensamiento y movimientos sociales y políticos del siglo XIX, El nacionalismo y los procesos de unificación nacional de Italia y Alemania"
"Nacionalismo pangermánico unir a:","A) Todos pueblos germánicos","B) Solo estados alemanes norte","C) Alemania y Francia","D) Imperio Austrohúngaro",A,Historia Universal,"Pensamiento y movimientos sociales y políticos del siglo XIX, El nacionalismo y los procesos de unificación nacional de Italia y Alemania"
"Explotación caucho África ejemplo motivación:","A) Humanitaria","B) Económica","C) Religiosa","D) Deportiva",B,Historia Universal,"El imperialismo, La expansión colonial y las rivalidades imperialistas"
"Motor combustión interna impulsó:","A) Telégrafo","B) Automóvil","C) Teléfono","D) Barco vela",B,Historia Universal,"El imperialismo, La revolución científico-tecnológica"
"Sistema alianzas antes 1914 contribuyó a guerra:","A) Garantizaba paz","B) Conflictos locales a guerra general","C) Desarmaba naciones","D) Fomentaba libre comercio",B,Historia Universal,"Primera Guerra Mundial, Los antecedentes inmediatos y el desarrollo"
"Batalla Verdún (1916) símbolo:","A) Guerra movimientos","B) Guerra desgaste enormes bajas","C) Guerra naval","D) Entrada EE.UU.",B,Historia Universal,"Primera Guerra Mundial, Los antecedentes inmediatos y el desarrollo"
"Guerra submarina sin restricciones por:","A) Gran Bretaña","B) Alemania","C) Francia","D) Rusia",B,Historia Universal,"Primera Guerra Mundial, Los antecedentes inmediatos y el desarrollo"
"Bolcheviques tomaron poder en Revolución de:","A) Febrero 1917","B) Octubre 1917","C) Julio 1914","D) Marzo 1918",B,Historia Universal,"Primera Guerra Mundial, La Revolución Socialista Rusa y las consecuencias de la Primera Guerra Mundial"
"Tratado Brest-Litovsk (1918): Rusia:","A) Gran victoria","B) Salida guerra cediendo territorios","C) Entrada Sociedad Naciones","D) Inicio colectivización",B,Historia Universal,"Primera Guerra Mundial, La Revolución Socialista Rusa y las consecuencias de la Primera Guerra Mundial"
""Catorce Puntos"" propuestos por:","A) Lloyd George","B) Clemenceau","C) Wilson","D) Orlando",C,Historia Universal,"Primera Guerra Mundial, La Revolución Socialista Rusa y las consecuencias de la Primera Guerra Mundial"
"Crack 1929 por:","A) Subproducción","B) Especulación y sobreendeudamiento","C) Exceso regulación","D) Paz duradera",B,Historia Universal,"El mundo entre guerras, La Crisis de 1929"
"New Deal incluía programas:","A) Control migratorio","B) Obras públicas y empleo","C) Espionaje","D) Expansión militar",B,Historia Universal,"El mundo entre guerras, La Crisis de 1929"
"Fascismo surgió en contexto:","A) Prosperidad","B) Crisis económica y miedo comunismo","C) Victoria guerra","D) Presión descolonizadora",B,Historia Universal,"El mundo entre guerras, Los regímenes totalitarios"
"Nazismo culpaba a judíos de:","A) Derrota Segunda Guerra","B) Problemas Alemania post Primera Guerra","C) Inventar liberalismo","D) Ser terratenientes",B,Historia Universal,"El mundo entre guerras, Los regímenes totalitarios"
""Marcha sobre Roma"" (1922): Mussolini:","A) Arrestado","B) Nombrado primer ministro","C) Escapó","D) Derrotó aliados",B,Historia Universal,"El mundo entre guerras, Los regímenes totalitarios"
""Gran Terror"" URSS (1936-38) buscó:","A) Mejorar condiciones","B) Eliminar oposición","C) Fomentar democracia","D) Preparar invasión Alemania",B,Historia Universal,"El mundo entre guerras, Los regímenes totalitarios"
"Hitler violó Tratado Versailles con:","A) Desarme","B) Remilitarización Renania y Anschluss","C) Devolución colonias","D) Pago reparaciones",B,Historia Universal,"Segunda Guerra Mundial, El origen y el desarrollo"
"Batalla Midway (1942) punto inflexión en:","A) Frente europeo","B) Guerra Pacífico","C) Frente africano","D) Batalla Atlántico",B,Historia Universal,"Segunda Guerra Mundial, El origen y el desarrollo"
"Conferencia Teherán (1943) reunió:","A) Hitler, Mussolini, Hirohito","B) Churchill, Roosevelt, Stalin","C) Truman, Attlee, Stalin","D) De Gaulle, Eisenhower, Churchill",B,Historia Universal,"Segunda Guerra Mundial, Las consecuencias"
"Segunda Guerra terminó Europa en:","A) 1944","B) 1945","C) 1946","D) 1943",B,Historia Universal,"Segunda Guerra Mundial, Las consecuencias"
"Guerra Fría comenzó tras:","A) Primera Guerra","B) Revolución Rusa","C) Segunda Guerra","D) Caída Muro Berlín",C,Historia Universal,"El conflicto entre el capitalismo y socialismo, La Guerra Fría"
"Plan Marshall rechazado por:","A) Gran Bretaña","B) URSS y satélites","C) Alemania Occidental","D) Italia",B,Historia Universal,"El conflicto entre el capitalismo y socialismo, La Guerra Fría"
"Muro Berlín construido para:","A) Proteger Berlín Occidental","B) Detener fuga Alemania Oriental a Occidental","C) Celebrar reunificación","D) Monumento turístico",B,Historia Universal,"El conflicto entre el capitalismo y socialismo, La Guerra Fría"
""Doctrina Destrucción Mutua Asegurada"" (MAD):","A) Guerra convencional","B) Disuasión nuclear","C) Guerrilla","D) Ayuda económica",B,Historia Universal,"El conflicto entre el capitalismo y socialismo, La Guerra Fría"
"Primavera Praga (1968):","A) Invasión nazi","B) Intento reforma aplastado Pacto Varsovia","C) Independencia","D) Revolución exitosa",B,Historia Universal,"El conflicto entre el capitalismo y socialismo, La Guerra Fría"
"Guerra Afganistán (1979-89): URSS vs:","A) EE.UU. directamente","B) Muyahidines apoyados por EE.UU.","C) India","D) Iran",B,Historia Universal,"El conflicto entre el capitalismo y socialismo, La Guerra Fría"
"Descolonización Congo Belga: primer ministro asesinado:","A) Mandela","B) Lumumba","C) Nkrumah","D) Kenyatta",B,Historia Universal,"El conflicto entre el capitalismo y socialismo, Luchas de liberación nacional de Asia y África"
"Movimiento Países No Alineados buscaba:","A) Aliarse con EE.UU.","B) Neutralidad sin adherirse a bloques","C) Tercer bloque militar","D) Restaurar colonialismo",B,Historia Universal,"El conflicto entre el capitalismo y socialismo, Luchas de liberación nacional de Asia y África"
""Revolución Terciopelo"" Checoslovaquia (1989):","A) Guerra civil","B) Transición pacífica comunismo a democracia","C) Invasión soviética","D) Golpe militar",B,Historia Universal,"El mundo actual, La caída del bloque soviético"
"Alemania reunificada en:","A) 1989","B) 1990","C) 1991","D) 1945",B,Historia Universal,"El mundo actual, La caída del bloque soviético"
"UE surgió de:","A) OTAN","B) CECA","C) Pacto Varsovia","D) Sociedad Naciones",B,Historia Universal,"El mundo actual, La globalización económica y política"
"Revolución digital basada en:","A) Máquina vapor","B) Informática e internet","C) Motor combustión","D) Ferrocarril",B,Historia Universal,"El mundo actual, El desarrollo científico y tecnológico"
"Desafíos actuales:","A) Sin conflictos","B) Desigualdades y pandemias","C) Aislamiento total","D) Fin avances tecnológicos",B,Historia Universal,"El mundo actual, La globalización económica y política"
"Prehistoria sin:","A) Seres humanos","B) Documentos escritos","C) Herramientas","D) Arte",B,Historia Universal,"La Historia, Periodización de la Historia"
"Siglo de las Luces:","A) XVI","B) XVII","C) XVIII","D) XIX",C,Historia Universal,"Las Revoluciones burguesas, Las ideas de la Ilustración"
"Burguesía opuesta a Antiguo Régimen por:","A) Defendía igualdad","B) Privilegios estamentales limitaban su poder","C) Promovía industrialización","D) Libre comercio",B,Historia Universal,"Las Revoluciones burguesas, El fortalecimiento de la burguesía"
"Adam Smith criticaba:","A) Socialismo","B) Feudalismo","C) Mercantilismo","D) Anarquismo",C,Historia Universal,"Las Revoluciones burguesas, El liberalismo económico y político del siglo XIX"
"Soberanía nacional: poder en:","A) Monarca","B) Nación (ciudadanos)","C) Elite militar","D) Asamblea nobles",B,Historia Universal,"Las Revoluciones burguesas, El liberalismo económico y político del siglo XIX"
"Liberales radicales:","A) Sufragio universal masculino","B) Sufragio censitario restrictivo","C) Voto solo nobles","D) Gobierno dictador",A,Historia Universal,"Pensamiento y movimientos sociales y políticos del siglo XIX, La lucha entre el liberalismo y conservadurismo"
"Primera Internacional fundada para:","A) Intereses industriales","B) Agrupar sindicatos y partidos obreros","C) Expansión colonial","D) Defender gremios",B,Historia Universal,"Pensamiento y movimientos sociales y políticos del siglo XIX, Los movimientos obreros y el pensamiento socialista"
"Zollverein:","A) Unión aduanera alemana","B) Partido nacionalista italiano","C) Tratado militar","D) Revuelta campesina",A,Historia Universal,"Pensamiento y movimientos sociales y políticos del siglo XIX, El nacionalismo y los procesos de unificación nacional de Italia y Alemania"
"Batalla Sedán (1870) decisiva para:","A) Unificación italiana","B) Derrota francesa y proclamación Imperio Alemán","C) Independencia Grecia","D) Guerra Crimea",B,Historia Universal,"Pensamiento y movimientos sociales y políticos del siglo XIX, El nacionalismo y los procesos de unificación nacional de Italia y Alemania"
"Incidente Fashoda enfrentó:","A) Francia y Gran Bretaña en África","B) Alemania y Francia","C) Rusia y Austria","D) Italia y Turquía",A,Historia Universal,"El imperialismo, La expansión colonial y las rivalidades imperialistas"
"Teoría evolución Darwin influyó imperialismo:","A) Base pseudocientífica racismo","B) Promover vegetarianismo","C) Demostrar igualdad biológica","D) Proteger especies",A,Historia Universal,"El imperialismo, La expansión colonial y las rivalidades imperialistas"
""Gran Guerra"":","A) Guerra Cien Años","B) Primera Guerra Mundial","C) Segunda Guerra Mundial","D) Guerra Fría",B,Historia Universal,"Primera Guerra Mundial, Los antecedentes inmediatos y el desarrollo"
"Telegrama Zimmermann proponía alianza con:","A) Canadá","B) México","C) Japón","D) Brasil",B,Historia Universal,"Primera Guerra Mundial, Los antecedentes inmediatos y el desarrollo"
""Soviets"" Revolución Rusa:","A) Consejos obreros y soldados","B) Miembros partido bolchevique","C) Terratenientes","D) Oficiales zaristas",A,Historia Universal,"Primera Guerra Mundial, La Revolución Socialista Rusa y las consecuencias de la Primera Guerra Mundial"
"Tercera Internacional (Komintern) creada por:","A) Socialdemócratas","B) Bolcheviques promover revolución mundial","C) Países capitalistas","D) Sociedad Naciones",B,Historia Universal,"Primera Guerra Mundial, La Revolución Socialista Rusa y las consecuencias de la Primera Guerra Mundial"
"Artículo 231 Tratado Versailles: cláusula:","A) Sociedad Naciones","B) Culpabilidad guerra Alemania","C) Desarme universal","D) Autodeterminación",B,Historia Universal,"Primera Guerra Mundial, La Revolución Socialista Rusa y las consecuencias de la Primera Guerra Mundial"
"Hiperinflación República Weimar (1923) consecuencia:","A) Enriquecimiento clase media","B) Destrucción ahorros y descontento","C) Estabilidad política","D) Aceptación Tratado",B,Historia Universal,"El mundo entre guerras, La Crisis de 1929"
"Fascismo ""tercera vía"" opuesta a:","A) Solo comunismo","B) Solo capitalismo","C) Liberalismo y comunismo","D) Colonialismo",C,Historia Universal,"El mundo entre guerras, Los regímenes totalitarios"
"Gulag URSS:","A) Plan económico","B) Agencia espionaje","C) Campos trabajo forzado","D) Granja colectiva",C,Historia Universal,"El mundo entre guerras, Los regímenes totalitarios"
"Pacto Molotov-Ribbentrop (1939):","A) No agresión Alemania nazi-URSS","B) Alianza militar","C) Ayuda económica","D) Reparto África",A,Historia Universal,"Segunda Guerra Mundial, El origen y el desarrollo"
""Solución Final"" nazi:","A) Invadir Gran Bretaña","B) Ganar Pacífico","C) Exterminio judíos","D) Desarrollar bomba atómica",C,Historia Universal,"Segunda Guerra Mundial, El origen y el desarrollo"
"Desembarco Normandía abrió:","A) Frente Pacífico","B) Frente oriental","C) Segundo frente Europa Occidental","D) Frente africano",C,Historia Universal,"Segunda Guerra Mundial, El origen y el desarrollo"
"Conferencia Potsdam (1945) definió:","A) Desembarco Normandía","B) Reparto Alemania y reparaciones","C) Creación Sociedad Naciones","D) Formación OTAN",B,Historia Universal,"Segunda Guerra Mundial, Las consecuencias"
"Guerra Fría manifestada en conflictos como:","A) Segunda Guerra","B) Guerra Corea y Vietnam","C) Primera Guerra","D) Guerras Napoleónicas",B,Historia Universal,"El conflicto entre el capitalismo y socialismo, La Guerra Fría"
""Telón de Acero"" expresión de:","A) Truman","B) Churchill","C) Stalin","D) Gorbachov",B,Historia Universal,"El conflicto entre el capitalismo y socialismo, La Guerra Fría"
"OTAN alianza:","A) Económica","B) Militar defensiva","C) Cultural","D) Deportiva",B,Historia Universal,"El conflicto entre el capitalismo y socialismo, La Guerra Fría"
"Guerra Corea terminó:","A) Victoria total Corea Norte","B) Victoria total Corea Sur","C) Armisticio y zona desmilitarizada","D) Anexión China",C,Historia Universal,"El conflicto entre el capitalismo y socialismo, La Guerra Fría"
"Crisis misiles Cuba bajo presidente:","A) Truman","B) Eisenhower","C) Kennedy","D) Nixon",C,Historia Universal,"El conflicto entre el capitalismo y socialismo, La Guerra Fría"
""Coexistencia Pacífica"" promovida por:","A) Stalin","B) Jrushchov","C) Brézhnev","D) Gorbachov",B,Historia Universal,"El conflicto entre el capitalismo y socialismo, La Guerra Fría"
"Independencia Argelia:","A) 1954","B) 1962","C) 1975","D) 1945",B,Historia Universal,"El conflicto entre el capitalismo y socialismo, Luchas de liberación nacional de Asia y África"
"Perestroika buscaba:","A) Reestructurar economía soviética","B) Volver estalinismo","C) Expandir dominio soviético","D) Aislar URSS",A,Historia Universal,"El mundo actual, La caída del bloque soviético"
"Globalización impulsada por:","A) Prohibición comercio","B) Avances transporte y telecomunicaciones","C) Fortalecimiento aduanas","D) Autarquía",B,Historia Universal,"El mundo actual, La globalización económica y política"
"Biotecnología parte de:","A) Retroceso científico","B) Desarrollo científico actual","C) Pensamiento mágico","D) Movimiento ludita",B,Historia Universal,"El mundo actual, El desarrollo científico y tecnológico"
"Carrera espacial logró:","A) Primer satélite (Sputnik) y llegada Luna","B) Estación espacial solo europea","C) Vida Marte","D) Viajes interestelares",A,Historia Universal,"El mundo actual, El desarrollo científico y tecnológico"
"Revolución Verde:","A) Movimiento ecologista","B) Innovaciones agrícolas aumentaron producción","C) Independencia colonias","D) Revolución socialista China",B,Historia Universal,"El mundo actual, El desarrollo científico y tecnológico"
"Historiografía:","A) Estudio escritura antigua","B) Conjunto obras sobre historia","C) Recolección arqueológica","D) Línea tiempo",B,Historia Universal,"La Historia, Definición y utilidad de la Historia"
"Fuente primaria:","A) Libro texto 2020","B) Carta soldado 1916","C) Película histórica","D) Artículo enciclopedia",B,Historia Universal,"La Historia, Definición y utilidad de la Historia"
"Edad Moderna comienza:","A) Caída Imperio Romano","B) Descubrimiento América o caída Constantinopla","C) Revolución Francesa","D) Primera Guerra Mundial",B,Historia Universal,"La Historia, Periodización de la Historia"
"Ilustración promovía gobierno:","A) Monarquía absoluta","B) Soberanía popular y separación poderes","C) Teocracia","D) Aristocracia hereditaria",B,Historia Universal,"Las Revoluciones burguesas, Las ideas de la Ilustración"
"Voltaire defendía:","A) Derecho divino reyes","B) Libertad pensamiento y expresión","C) Socialismo","D) Absolutismo",B,Historia Universal,"Las Revoluciones burguesas, Las ideas de la Ilustración"
"Burguesía ascendente promovía:","A) Feudalismo","B) Liberalismo y libre empresa","C) Socialismo estatal","D) Mercantilismo extremo",B,Historia Universal,"Las Revoluciones burguesas, El fortalecimiento de la burguesía"
"Revoluciones burguesas buscaban:","A) Dictadura proletariado","B) Derrocar monarquía absoluta e instaurar orden favorable burguesía","C) Restaurar poder Iglesia","D) Expandir colonias",B,Historia Universal,"Las Revoluciones burguesas, El fortalecimiento de la burguesía"
"Socialismo utópico Owen:","A) Lucha clases violenta","B) Modelos ideales sociedad por convencimiento","C) Propiedad privada sin límites","D) Industrialización sin regulación",B,Historia Universal,"Pensamiento y movimientos sociales y políticos del siglo XIX, Los movimientos obreros y el pensamiento socialista"
"Segunda Internacional (1889) para:","A) Coordinar partidos socialistas y obreros","B) Liderar Revolución Rusa","C) Administrar colonias","D) Combatir sindicatos",A,Historia Universal,"Pensamiento y movimientos sociales y políticos del siglo XIX, Los movimientos obreros y el pensamiento socialista"
"Unificación italiana completada con anexión Roma, antes:","A) Imperio Austrohúngaro","B) Estados Pontificios","C) Reino Dos Sicilias","D) Francia",B,Historia Universal,"Pensamiento y movimientos sociales y políticos del siglo XIX, El nacionalismo y los procesos de unificación nacional de Italia y Alemania"
"Colonización África fines siglo XIX:","A) Reparto África","B) Conquista América","C) Descolonización","D) Imperialismo Asiático",A,Historia Universal,"El imperialismo, La expansión colonial y las rivalidades imperialistas"
"Batalla Marne (1914) importante porque:","A) Fracasó plan alemán guerra rápida","B) Victoria decisiva Potencias Centrales","C) Entrada EE.UU.","D) Rendición Rusia",A,Historia Universal,"Primera Guerra Mundial, Los antecedentes inmediatos y el desarrollo"
"Entrada EE.UU. Primera Guerra (1917) favoreció a:","A) Potencias Centrales","B) Triple Alianza","C) Triple Entente","D) Ninguno",C,Historia Universal,"Primera Guerra Mundial, Los antecedentes inmediatos y el desarrollo"
"Revolución Febrero (marzo) 1917 Rusia derrocó a:","A) Bolcheviques","B) Gobierno provisional","C) Zar Nicolás II","D) Mencheviques",C,Historia Universal,"Primera Guerra Mundial, La Revolución Socialista Rusa y las consecuencias de la Primera Guerra Mundial"
"Lema ""Paz, pan y tierra"" demandas de:","A) Nobles","B) Soldados, campesinos, obreros","C) Burguesía industrial","D) Intelectuales",B,Historia Universal,"Primera Guerra Mundial, La Revolución Socialista Rusa y las consecuencias de la Primera Guerra Mundial"
"Guerra Civil Rusa (1918-21): bolcheviques vs:","A) Solo fuerzas extranjeras","B) Mencheviques y ejércitos blancos apoyados extranjeros","C) Solo campesinos","D) Gobierno provisional",B,Historia Universal,"Primera Guerra Mundial, La Revolución Socialista Rusa y las consecuencias de la Primera Guerra Mundial"
"Jueves Negro (24 oct 1929):","A) Inicio Segunda Guerra","B) Crack Bolsa Nueva York","C) Toma poder nazis","D) Inicio Revolución Rusa",B,Historia Universal,"El mundo entre guerras, La Crisis de 1929"
"Política ""apaciguamiento"" hacia Alemania nazi:","A) Confrontar cada expansión","B) Conceder demandas evitar guerra","C) Alianza URSS","D) Ignorar acciones",B,Historia Universal,"El mundo entre guerras, Los regímenes totalitarios"
"Fascismo italiano caracterizado:","A) Internacionalismo","B) Nacionalismo extremo, culto líder, rechazo democracia","C) Defensa derechos individuales","D) Economía planificada soviética",B,Historia Universal,"El mundo entre guerras, Los regímenes totalitarios"
"Leyes Núremberg (1935):","A) Igualdad ciudadanos","B) Privación derechos y persecución judíos","C) Disolución partido nazi","D) Alianza URSS",B,Historia Universal,"El mundo entre guerras, Los regímenes totalitarios"
""Noche cuchillos largos"" (1934):","A) Purga partido nazi","B) Ataque aéreo Londres","C) Invasión Polonia","D) Firma pacto Ribbentrop-Mólotov",A,Historia Universal,"El mundo entre guerras, Los regímenes totalitarios"
"Planes quinquenales Stalin:","A) Restaurar propiedad privada","B) Industrializar URSS y colectivizar agricultura","C) Inversión extranjera sin límites","D) Reducir producción acero",B,Historia Universal,"El mundo entre guerras, Los regímenes totalitarios"
"Batalla Inglaterra (1940):","A) Batalla naval","B) Batalla terrestre África","C) Bombardeos aéreos alemanes Gran Bretaña","D) Batalla tanques",C,Historia Universal,"Segunda Guerra Mundial, El origen y el desarrollo"
"Conferencia Yalta (1945) reunió:","A) Hitler, Mussolini, Hirohito","B) Churchill, Roosevelt, Stalin","C) Truman, Churchill, Stalin","D) De Gaulle, Eisenhower, Zhúkov",B,Historia Universal,"Segunda Guerra Mundial, Las consecuencias"
"Guerra Fría llamada así porque:","A) Regiones polares","B) Conflicto indirecto sin guerra abierta total","C) Glaciación","D) Batallas baja intensidad",B,Historia Universal,"El conflicto entre el capitalismo y socialismo, La Guerra Fría"
"Plan Marshall:","A) Plan militar OTAN","B) Ayuda económica EE.UU. reconstruir Europa Occidental","C) Estrategia soviética control Europa Este","D) Plan nuclear URSS",B,Historia Universal,"El conflicto entre el capitalismo y socialismo, La Guerra Fría"
"Bloqueo Berlín (1948-49) resultó en:","A) Rendición Berlín Occidental","B) Retirada aliados","C) Puente aéreo EE.UU. y aliados","D) Inicio Guerra Corea",C,Historia Universal,"El conflicto entre el capitalismo y socialismo, La Guerra Fría"
""Cortina de Acero"":","A) Tecnología militar","B) Frontera física e ideológica división Europa","C) Sistema defensa Francia","D) Acuerdo comercial",B,Historia Universal,"El conflicto entre el capitalismo y socialismo, La Guerra Fría"
"Independencia India (1947) creación:","A) India y Ceilán","B) India y Pakistán","C) India y Bangladesh","D) India y Birmania",B,Historia Universal,"El conflicto entre el capitalismo y socialismo, Luchas de liberación nacional de Asia y África"
"Política ""glasnost"" por:","A) Brézhnev","B) Stalin","C) Jrushchov","D) Gorbachov",D,Historia Universal,"El mundo actual, La caída del bloque soviético"
"Cambio climático preocupación:","A) Mundo medieval","B) Período entreguerras","C) Imperialismo siglo XIX","D) Mundo actual, derivada desarrollo industrial",D,Historia Universal,"El mundo actual, La globalización económica y política"
"Historia estudia pasado análisis crítico:","A) Mitos","B) Fuentes","C) Adivinación","D) Tradición oral solo",B,Historia Universal,"La Historia, Definición y utilidad de la Historia"
"Periodización a.C./d.C. convención:","A) Cristiana","B) Musulmana","C) Judía","D) Romana",A,Historia Universal,"La Historia, Periodización de la Historia"
"Ilustración promovía conocimiento:","A) Fe","B) Tradición","C) Razón","D) Emoción",C,Historia Universal,"Las Revoluciones burguesas, Las ideas de la Ilustración"
""Enciclopedia"" difundir pensamiento:","A) Teológico","B) Racional y crítico","C) Monárquico absoluto","D) Medieval",B,Historia Universal,"Las Revoluciones burguesas, Las ideas de la Ilustración"
"Burguesía fortaleció por acumulación:","A) Títulos","B) Capital","C) Tierras","D) Cargos eclesiásticos",B,Historia Universal,"Las Revoluciones burguesas, El fortalecimiento de la burguesía"
""Laissez faire"" asociado:","A) Socialismo","B) Liberalismo económico","C) Mercantilismo","D) Feudalismo",B,Historia Universal,"Las Revoluciones burguesas, El liberalismo económico y político del siglo XIX"
""La riqueza de las naciones"" obra:","A) Ricardo","B) Malthus","C) Smith","D) Marx",C,Historia Universal,"Las Revoluciones burguesas, El liberalismo económico y político del siglo XIX"
"Liberalismo político defendía:","A) Monarquía absoluta","B) Soberanía nacional y derechos","C) Dictadura proletariado","D) Supremacía eclesiástica",B,Historia Universal,"Las Revoluciones burguesas, El liberalismo económico y político del siglo XIX"
"Lucha liberales vs conservadores siglo XIX:","A) Socialismo","B) Estado laico vs privilegios Antiguo Régimen","C) Monarquía o república","D) Expansionismo colonial",B,Historia Universal,"Pensamiento y movimientos sociales y políticos del siglo XIX, La lucha entre el liberalismo y conservadurismo"
"Conservadores defendían:","A) Cambio revolucionario","B) Tradición y autoridad","C) Soberanía popular","D) Igualdad económica",B,Historia Universal,"Pensamiento y movimientos sociales y políticos del siglo XIX, La lucha entre el liberalismo y conservadurismo"
"Congreso Viena buscó:","A) Expandir ideas revolucionarias","B) Restaurar Antiguo Régimen","C) Promover independencias","D) Crear ONU",B,Historia Universal,"Pensamiento y movimientos sociales y políticos del siglo XIX, La lucha entre el liberalismo y conservadurismo"
"Socialismo científico formulado:","A) Owen y Fourier","B) Marx y Engels","C) Bakunin y Proudhon","D) Saint-Simon",B,Historia Universal,"Pensamiento y movimientos sociales y políticos del siglo XIX, Los movimientos obreros y el pensamiento socialista"
""¡Proletarios, uníos!"" en:","A) El Capital","B) Manifiesto Comunista","C) La riqueza de las naciones","D) El contrato social",B,Historia Universal,"Pensamiento y movimientos sociales y políticos del siglo XIX, Los movimientos obreros y el pensamiento socialista"
"Marxismo: motor historia:","A) Grandes personajes","B) Lucha clases","C) Voluntad divina","D) Tecnología",B,Historia Universal,"Pensamiento y movimientos sociales y políticos del siglo XIX, Los movimientos obreros y el pensamiento socialista"
"Anarquismo proponía:","A) Estado fuerte","B) Abolición gobierno","C) Dictadura partido","D) Retorno monarquía",B,Historia Universal,"Pensamiento y movimientos sociales y políticos del siglo XIX, Los movimientos obreros y el pensamiento socialista"
"Comuna París:","A) Gobierno monárquico","B) Gobierno obrero popular","C) Consejo industriales","D) Parlamento conservador",B,Historia Universal,"Pensamiento y movimientos sociales y políticos del siglo XIX, Los movimientos obreros y el pensamiento socialista"
"Unificación alemana dirigida:","A) Austria","B) Prusia bajo Bismarck","C) Baviera","D) Confederación Rin",B,Historia Universal,"Pensamiento y movimientos sociales y políticos del siglo XIX, El nacionalismo y los procesos de unificación nacional de Italia y Alemania"
""Sangre y hierro"" asociada:","A) Garibaldi","B) Napoleón III","C) Bismarck","D) Cavour",C,Historia Universal,"Pensamiento y movimientos sociales y políticos del siglo XIX, El nacionalismo y los procesos de unificación nacional de Italia y Alemania"
"Líder unificación italiana:","A) Víctor Manuel II","B) Mazzini","C) Cavour","D) Todos anteriores",D,Historia Universal,"Pensamiento y movimientos sociales y políticos del siglo XIX, El nacionalismo y los procesos de unificación nacional de Italia y Alemania"
"Garibaldi conocido:","A) Expedición Mil Camisas Rojas","B) Ser primer rey Italia","C) Negociar Francia","D) Escribir manifiesto",A,Historia Universal,"Pensamiento y movimientos sociales y políticos del siglo XIX, El nacionalismo y los procesos de unificación nacional de Italia y Alemania"
"Nacionalismo siglo XIX:","A) Lealtad a monarca","B) Lengua, cultura común","C) Religión","D) Clase económica",B,Historia Universal,"Pensamiento y movimientos sociales y políticos del siglo XIX, El nacionalismo y los procesos de unificación nacional de Italia y Alemania"
"Imperialismo motivado:","A) Humanitarismo","B) Materias primas, mercados, prestigio","C) Equilibrar población","D) Difundir democracia",B,Historia Universal,"El imperialismo, La expansión colonial y las rivalidades imperialistas"
